,loss,accuracy
0,2.8623526096343994,0.23003952205181122
1,1.6172454357147217,0.5027667880058289
2,1.175060749053955,0.633992075920105
3,0.860023558139801,0.7288537621498108
4,0.713024914264679,0.7644268870353699
5,0.5731486082077026,0.8039525747299194
6,0.4378700256347656,0.8490118384361267
7,0.35028576850891113,0.8909090757369995
8,0.3002397119998932,0.895652174949646
9,0.29584139585494995,0.903557300567627
10,0.28073135018348694,0.904347836971283
11,0.2265685349702835,0.9241106510162354
12,0.2077767252922058,0.9264822006225586
13,0.20886129140853882,0.9320158362388611
14,0.20379513502120972,0.939920961856842
15,0.21252480149269104,0.9328063130378723
16,0.22749708592891693,0.9256917238235474
17,0.18902479112148285,0.9343873262405396
18,0.17657583951950073,0.947035551071167
19,0.150784432888031,0.9517786502838135
