,loss,acc
0,2.674363374710083,0.12252964079380035
1,2.419102907180786,0.24347825348377228
2,2.2073447704315186,0.29407113790512085
3,2.0131237506866455,0.3636363744735718
4,1.8829272985458374,0.4126482307910919
5,1.7489763498306274,0.4537549316883087
6,1.629738688468933,0.4956521689891815
7,1.525172233581543,0.5256916880607605
8,1.4997755289077759,0.5233201384544373
9,1.3501046895980835,0.5802371501922607
10,1.338180661201477,0.574703574180603
11,1.2759625911712646,0.5905138254165649
12,1.2365349531173706,0.6039525866508484
13,1.1848845481872559,0.6126482486724854
14,1.1529221534729004,0.6126482486724854
15,1.1174499988555908,0.633992075920105
16,1.1144940853118896,0.6371541619300842
17,1.02244234085083,0.677470326423645
18,0.9857280850410461,0.6711462736129761
19,0.9679166674613953,0.686165988445282
